Experiment_ID,IL_name,Experiment_method,Experiment_value,IL_molratio,HL_name,HL_molratio,CHL_name,CHL_molratio,PEG_name,PEG_molratio,IL_to_nucleicacid_massratio,Aqueous_buffer,Mixing_method,Model,Model_type,Model_target,Route_of_administration,Cargo,Cargo_type,Dose_ug_nucleicacid
"Example 22, Table 32",Compound 26,Pharmacokinetics Cmax (ng/mL) at 0.01 mpk,17.7,,,,,,,,,,,Cynomolgus monkeys,Non-human primates,hEPO,Intravenous infusion,hEPO mRNA,mRNA,
"Example 22, Table 32",Compound 26,Pharmacokinetics AUC0-t (hr*ng/mL) at 0.01 mpk,302,,,,,,,,,,,Cynomolgus monkeys,Non-human primates,hEPO,Intravenous infusion,hEPO mRNA,mRNA,
"Example 22, Table 32",Compound 48,Pharmacokinetics Cmax (ng/mL) at 0.01 mpk,9.49,,,,,,,,,,,Cynomolgus monkeys,Non-human primates,hEPO,Intravenous infusion,hEPO mRNA,mRNA,
"Example 22, Table 32",Compound 48,Pharmacokinetics AUC0-t (hr*ng/mL) at 0.01 mpk,117,,,,,,,,,,,Cynomolgus monkeys,Non-human primates,hEPO,Intravenous infusion,hEPO mRNA,mRNA,
"Example 23, Table 33",Compound 18,Encapsulation Efficiency (%),79.3,,,,,,,,,,,,,,,anti-HA antibody mRNA,mRNA,
"Example 23, Table 33",Compound 18,Particle Diameter (nm),76.8,,,,,,,,,,,,,,,anti-HA antibody mRNA,mRNA,
"Example 23, Table 33",Compound 18,Polydispersity Index (PDI),0.16,,,,,,,,,,,,,,,anti-HA antibody mRNA,mRNA,
"Example 23, Table 34",MC3,Pharmacokinetics AUC (ug/mL * h) at 0.1 mpk,77.05,,,,,,,,,,,Cynomolgus monkeys,Non-human primates,anti-HA antibody,Intravenous infusion,anti-HA antibody mRNA,mRNA,
"Example 23, Table 34",Compound 18,Pharmacokinetics AUC (ug/mL * h) at 0.1 mpk,354.3,,,,,,,,,,,Cynomolgus monkeys,Non-human primates,anti-HA antibody,Intravenous infusion,anti-HA antibody mRNA,mRNA,
"Example 23, Table 34",MC3,Pharmacokinetics AUC (ug/mL * h) at 0.3 mpk,235.7,,,,,,,,,,,Cynomolgus monkeys,Non-human primates,anti-HA antibody,Intravenous infusion,anti-HA antibody mRNA,mRNA,
"Example 23, Table 34",Compound 18,Pharmacokinetics AUC (ug/mL * h) at 0.3 mpk,1055,,,,,,,,,,,Cynomolgus monkeys,Non-human primates,anti-HA antibody,Intravenous infusion,anti-HA antibody mRNA,mRNA,
